,precision,recall,thresholds
0,0.11370262390670553,1.0,0.0
1,0.11877394636015326,0.7948717948717948,0.01
2,0.1206896551724138,0.717948717948718,0.02
3,0.12380952380952381,0.6666666666666666,0.03
4,0.13471502590673576,0.6666666666666666,0.04
5,0.1348314606741573,0.6153846153846154,0.05
6,0.147239263803681,0.6153846153846154,0.06
7,0.14838709677419354,0.5897435897435898,0.07
8,0.14893617021276595,0.5384615384615384,0.08
9,0.152,0.48717948717948717,0.09
10,0.16379310344827586,0.48717948717948717,0.1
11,0.1651376146788991,0.46153846153846156,0.11
12,0.1782178217821782,0.46153846153846156,0.12
13,0.17391304347826086,0.41025641025641024,0.13
14,0.1724137931034483,0.38461538461538464,0.14
15,0.17073170731707318,0.358974358974359,0.15
16,0.16666666666666666,0.3333333333333333,0.16
17,0.1643835616438356,0.3076923076923077,0.17
18,0.15942028985507245,0.28205128205128205,0.18
19,0.16923076923076924,0.28205128205128205,0.19
20,0.16393442622950818,0.2564102564102564,0.2
21,0.18181818181818182,0.2564102564102564,0.21
22,0.19607843137254902,0.2564102564102564,0.22
23,0.1875,0.23076923076923078,0.23
24,0.2,0.23076923076923078,0.24
25,0.20454545454545456,0.23076923076923078,0.26
26,0.21951219512195122,0.23076923076923078,0.28
27,0.20512820512820512,0.20512820512820512,0.29
28,0.21052631578947367,0.20512820512820512,0.3
29,0.2222222222222222,0.20512820512820512,0.31
30,0.22857142857142856,0.20512820512820512,0.32
31,0.23529411764705882,0.20512820512820512,0.33
32,0.25,0.20512820512820512,0.34
33,0.25806451612903225,0.20512820512820512,0.35
34,0.27586206896551724,0.20512820512820512,0.37
35,0.25,0.1794871794871795,0.39
36,0.2692307692307692,0.1794871794871795,0.4
37,0.28,0.1794871794871795,0.42
38,0.3181818181818182,0.1794871794871795,0.43
39,0.3,0.15384615384615385,0.44
40,0.3157894736842105,0.15384615384615385,0.48
41,0.3333333333333333,0.15384615384615385,0.49
42,0.35294117647058826,0.15384615384615385,0.5
43,0.375,0.15384615384615385,0.51
44,0.4,0.15384615384615385,0.54
45,0.46153846153846156,0.15384615384615385,0.55
46,0.5,0.15384615384615385,0.6
47,0.45454545454545453,0.1282051282051282,0.61
48,0.4,0.10256410256410256,0.63
49,0.4444444444444444,0.10256410256410256,0.65
50,0.42857142857142855,0.07692307692307693,0.68
51,0.6,0.07692307692307693,0.7
52,0.3333333333333333,0.02564102564102564,0.72
53,0.0,0.0,1.0
54,1.0,0.0,1.0
